,date,state,fips,cases,deaths
409,2021-03-16,New Hampshire,33,79070,1202
410,2021-03-16,Nevada,32,299887,5136
411,2021-03-16,Nebraska,31,205646,2238
412,2021-03-16,Montana,30,102469,1397
413,2021-03-16,Missouri,29,575568,8797
414,2021-03-16,Mississippi,28,301250,6929
415,2021-03-16,Minnesota,27,498994,6817
416,2021-03-16,Michigan,26,676467,16796
417,2021-03-16,Massachusetts,25,604666,16688
418,2021-03-16,Maryland,24,394900,8080
419,2021-03-16,Maine,23,47388,725
420,2021-03-16,Louisiana,22,438557,9925
421,2021-03-16,Kentucky,21,420889,5166
422,2021-03-16,Kansas,20,301170,4835
423,2021-03-16,Iowa,19,343851,5658
424,2021-03-16,Indiana,18,676799,12876
425,2021-03-16,Illinois,17,1215745,23235
426,2021-03-16,Idaho,16,176133,1931
427,2021-03-16,Hawaii,15,28357,448
428,2021-03-16,Guam,66,8742,135
429,2021-03-16,Georgia,13,1011361,17735
430,2021-03-16,Florida,12,1984417,32448
431,2021-03-16,District of Columbia,11,42730,1042
432,2021-03-16,Delaware,10,90751,1514
433,2021-03-16,Connecticut,9,293955,7799
434,2021-03-16,Colorado,8,447149,6129
435,2021-03-16,California,6,3628366,56719
436,2021-03-16,Arkansas,5,327456,5493
437,2021-03-16,Arizona,4,833883,16574
438,2021-03-16,Alaska,2,60277,292
439,2021-03-16,Alabama,1,508717,10337
440,2021-03-15,Wyoming,56,55327,691
441,2021-03-15,Wisconsin,55,625888,7179
442,2021-03-15,West Virginia,54,135678,2531
443,2021-03-15,Washington,53,353344,5192
444,2021-03-15,Virginia,51,595865,10060
445,2021-03-15,Virgin Islands,78,2767,25
446,2021-03-15,Vermont,50,16992,214
447,2021-03-15,Utah,49,378600,2027
448,2021-03-15,Texas,48,2732352,46694
449,2021-03-15,Tennessee,47,778768,11535
450,2021-03-15,South Dakota,46,114649,1912
451,2021-03-15,South Carolina,45,534188,8878
452,2021-03-15,Rhode Island,44,131487,2576
453,2021-03-15,Puerto Rico,72,136826,2081
454,2021-03-15,Pennsylvania,42,972772,24630
455,2021-03-15,Oregon,41,159872,2333
456,2021-03-15,Oklahoma,40,432793,4701
457,2021-03-15,Ohio,39,990340,17871
458,2021-03-15,Northern Mariana Islands,69,154,2
459,2021-03-15,North Dakota,38,101032,1488
460,2021-03-15,North Carolina,37,890709,11739
461,2021-03-15,New York,36,1748739,48537
462,2021-03-15,New Mexico,35,188488,3855
463,2021-03-15,New Jersey,34,840846,23925
464,2021-03-15,New Hampshire,33,78813,1199
465,2021-03-15,Nevada,32,299530,5121
466,2021-03-15,Nebraska,31,205440,2236
467,2021-03-15,Montana,30,102055,1394
468,2021-03-15,Missouri,29,574951,8771
469,2021-03-15,Mississippi,28,300881,6903
470,2021-03-15,Minnesota,27,498286,6815
471,2021-03-15,Michigan,26,673661,16770
472,2021-03-15,Massachusetts,25,603464,16673
473,2021-03-15,Maryland,24,394240,8055
474,2021-03-15,Maine,23,47199,725
475,2021-03-15,Louisiana,22,437565,9903
476,2021-03-15,Kentucky,21,420010,5147
477,2021-03-15,Kansas,20,301134,4835
478,2021-03-15,Iowa,19,343303,5643
479,2021-03-15,Indiana,18,676235,12864
480,2021-03-15,Illinois,17,1213763,23216
481,2021-03-15,Idaho,16,175774,1918
482,2021-03-15,Hawaii,15,28312,448
483,2021-03-15,Guam,66,8742,135
484,2021-03-15,Georgia,13,1009499,17710
485,2021-03-15,Florida,12,1979626,32347
486,2021-03-15,District of Columbia,11,42623,1042
487,2021-03-15,Delaware,10,90614,1511
488,2021-03-15,Connecticut,9,293102,7788
489,2021-03-15,Colorado,8,446827,6121
490,2021-03-15,California,6,3626304,56606
491,2021-03-15,Arkansas,5,327060,5481
492,2021-03-15,Arizona,4,833391,16553
493,2021-03-15,Alaska,2,60174,292
494,2021-03-15,Alabama,1,508229,10329
495,2021-03-14,Wyoming,56,55163,691
496,2021-03-14,Wisconsin,55,625556,7178
497,2021-03-14,West Virginia,54,135468,2530
498,2021-03-14,Washington,53,352225,5183
499,2021-03-14,Virginia,51,594735,10019
500,2021-03-14,Virgin Islands,78,2767,25
501,2021-03-14,Vermont,50,16890,214
502,2021-03-14,Utah,49,378379,2027
503,2021-03-14,Texas,48,2727642,46588
504,2021-03-14,Tennessee,47,775773,11536
505,2021-03-14,South Dakota,46,114623,1912
506,2021-03-14,South Carolina,45,533421,8875
507,2021-03-14,Rhode Island,44,130502,2567
508,2021-03-14,Puerto Rico,72,136610,2080
509,2021-03-14,Pennsylvania,42,970914,24576
510,2021-03-14,Oregon,41,159617,2329
511,2021-03-14,Oklahoma,40,432483,4701
512,2021-03-14,Ohio,39,989191,17871
513,2021-03-14,Northern Mariana Islands,69,154,2
514,2021-03-14,North Dakota,38,101007,1488
515,2021-03-14,North Carolina,37,887595,11719
516,2021-03-14,New York,36,1741620,48475
517,2021-03-14,New Mexico,35,188311,3854
518,2021-03-14,New Jersey,34,838024,23903
519,2021-03-14,New Hampshire,33,78615,1199
520,2021-03-14,Nevada,32,299326,5119
521,2021-03-14,Nebraska,31,205049,2236
522,2021-03-14,Montana,30,101835,1393
523,2021-03-14,Missouri,29,574796,8770
524,2021-03-14,Mississippi,28,300780,6901
525,2021-03-14,Minnesota,27,497460,6814
526,2021-03-14,Michigan,26,669808,16759
527,2021-03-14,Massachusetts,25,602308,16645
528,2021-03-14,Maryland,24,393623,8048
529,2021-03-14,Maine,23,47025,724
530,2021-03-14,Louisiana,22,437393,9884
531,2021-03-14,Kentucky,21,419578,5123
532,2021-03-14,Kansas,20,300702,4824
533,2021-03-14,Iowa,19,342886,5642
534,2021-03-14,Indiana,18,675822,12856
535,2021-03-14,Illinois,17,1212895,23206
536,2021-03-14,Idaho,16,175305,1913
537,2021-03-14,Hawaii,15,28268,448
538,2021-03-14,Guam,66,8737,134
539,2021-03-14,Georgia,13,1008542,17665
540,2021-03-14,Florida,12,1976800,32254
541,2021-03-14,District of Columbia,11,42511,1041
542,2021-03-14,Delaware,10,90381,1507
543,2021-03-14,Connecticut,9,290577,7765
544,2021-03-14,Colorado,8,445953,6118
545,2021-03-14,California,6,3623342,56499
546,2021-03-14,Arkansas,5,326943,5474
547,2021-03-14,Arizona,4,832743,16553
548,2021-03-14,Alaska,2,59796,292
549,2021-03-14,Alabama,1,503673,10327
550,2021-03-13,Wyoming,56,55163,691
551,2021-03-13,Wisconsin,55,625045,7180
552,2021-03-13,West Virginia,54,135149,2519
553,2021-03-13,Washington,53,352116,5183
554,2021-03-13,Virginia,51,593562,9985
555,2021-03-13,Virgin Islands,78,2767,25
556,2021-03-13,Vermont,50,16698,214
557,2021-03-13,Utah,49,377983,2021
558,2021-03-13,Texas,48,2724913,46532
559,2021-03-13,Tennessee,47,775718,11536
560,2021-03-13,South Dakota,46,114493,1909
561,2021-03-13,South Carolina,45,532549,8870
562,2021-03-13,Rhode Island,44,130502,2567
563,2021-03-13,Puerto Rico,72,136417,2077
564,2021-03-13,Pennsylvania,42,969095,24576
565,2021-03-13,Oregon,41,159427,2329
566,2021-03-13,Oklahoma,40,431991,4701
567,2021-03-13,Ohio,39,988298,17871
568,2021-03-13,Northern Mariana Islands,69,147,2
569,2021-03-13,North Dakota,38,100973,1488
570,2021-03-13,North Carolina,37,887595,11716
571,2021-03-13,New York,36,1734933,48370
572,2021-03-13,New Mexico,35,188167,3852
573,2021-03-13,New Jersey,34,834714,23888
574,2021-03-13,New Hampshire,33,78319,1199
575,2021-03-13,Nevada,32,299150,5119
576,2021-03-13,Nebraska,31,204886,2236
577,2021-03-13,Montana,30,101801,1393
578,2021-03-13,Missouri,29,574386,8769
579,2021-03-13,Mississippi,28,300577,6896
580,2021-03-13,Minnesota,27,496463,6809
581,2021-03-13,Michigan,26,669720,16759
582,2021-03-13,Massachusetts,25,600616,16614
583,2021-03-13,Maryland,24,392763,8038
584,2021-03-13,Maine,23,46856,724
585,2021-03-13,Louisiana,22,436482,9861
586,2021-03-13,Kentucky,21,419195,5113
587,2021-03-13,Kansas,20,300702,4824
588,2021-03-13,Iowa,19,342705,5634
589,2021-03-13,Indiana,18,675127,12846
590,2021-03-13,Illinois,17,1211440,23188
591,2021-03-13,Idaho,16,175305,1913
592,2021-03-13,Hawaii,15,28218,447
593,2021-03-13,Guam,66,8737,134
594,2021-03-13,Georgia,13,1007740,17666
595,2021-03-13,Florida,12,1973101,32224
596,2021-03-13,District of Columbia,11,42432,1040
597,2021-03-13,Delaware,10,90156,1504
598,2021-03-13,Connecticut,9,290577,7765
599,2021-03-13,Colorado,8,445139,6118
600,2021-03-13,California,6,3621094,56349
601,2021-03-13,Arkansas,5,326813,5455
602,2021-03-13,Arizona,4,832094,16546
603,2021-03-13,Alaska,2,59796,292
604,2021-03-13,Alabama,1,503305,10327
605,2021-03-12,Wyoming,56,55163,691
606,2021-03-12,Wisconsin,55,624508,7167
607,2021-03-12,West Virginia,54,134842,2511
608,2021-03-12,Washington,53,351419,5183
609,2021-03-12,Virginia,51,592214,9961
610,2021-03-12,Virgin Islands,78,2767,25
611,2021-03-12,Vermont,50,16623,212
612,2021-03-12,Utah,49,377492,2017
613,2021-03-12,Texas,48,2722037,46391
614,2021-03-12,Tennessee,47,775589,11536
615,2021-03-12,South Dakota,46,114347,1907
616,2021-03-12,South Carolina,45,530880,8833
617,2021-03-12,Rhode Island,44,130502,2567
